"Scenario","mu","Method","X1","X2","X3","X4","X5","X6","pval"
"unbias_texpt",0,"LTRCctree",1668,1643,1704,1706,1663,1616,0.601
"unbias_texpt",0,"LBRCctreeC",1701,1594,1660,1737,1627,1681,0.16
"unbias_texpt",0,"LBRCctreeF",1700,1619,1653,1748,1617,1663,0.18
"unbias_texpt",0.1,"LTRCctree",1660,1714,1656,1642,1682,1646,0.821
"unbias_texpt",0.1,"LBRCctreeC",1652,1637,1630,1687,1670,1724,0.595
"unbias_texpt",0.1,"LBRCctreeF",1650,1642,1619,1696,1670,1723,0.504
"unbias_texpt",0.2,"LTRCctree",1638,1682,1638,1633,1754,1655,0.264
"unbias_texpt",0.2,"LBRCctreeC",1689,1642,1631,1643,1746,1649,0.334
"unbias_texpt",0.2,"LBRCctreeF",1686,1650,1626,1648,1740,1650,0.418
"unbias_texpt",0.5,"LTRCctree",1732,1629,1670,1665,1642,1662,0.579
"unbias_texpt",0.5,"LBRCctreeC",1719,1604,1686,1608,1669,1714,0.177
"unbias_texpt",0.5,"LBRCctreeF",1695,1611,1702,1615,1672,1705,0.348
"unbias_covd",0,"LTRCctree",1668,1643,1704,1706,1663,1616,0.601
"unbias_covd",0,"LBRCctreeC",1701,1594,1660,1737,1627,1681,0.16
"unbias_covd",0,"LBRCctreeF",1700,1619,1653,1748,1617,1663,0.18
"unbias_covd",0.1,"LTRCctree",1643,1662,1713,1593,1647,1742,0.129
"unbias_covd",0.1,"LBRCctreeC",1950,1605,1627,1619,1578,1621,0
"unbias_covd",0.1,"LBRCctreeF",1954,1613,1633,1616,1575,1609,0
"unbias_covd",0.2,"LTRCctree",1689,1570,1663,1656,1692,1730,0.118
"unbias_covd",0.2,"LBRCctreeC",2731,1365,1422,1519,1457,1506,0
"unbias_covd",0.2,"LBRCctreeF",2720,1369,1419,1521,1461,1510,0
"unbias_covd",0.5,"LTRCctree",1593,1693,1632,1732,1685,1665,0.209
"unbias_covd",0.5,"LBRCctreeC",5221,978,949,1015,925,912,0
"unbias_covd",0.5,"LBRCctreeF",5247,974,943,1008,919,909,0
